Material Description,Plant,Period,Year,Amount in LC,Quantity
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,6659.4,222
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8301.32,276
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5806.34,193
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8567.33,285
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11897.03,395
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12539.12,416
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10365.18,344
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16244.9,538
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13199.55,438
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11034.79,366
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13117.0,435
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17776.75,589
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21069.75,698
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13887.51,460
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17116.31,567
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17492.39,579
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20849.61,690
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16520.08,547
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12309.8,408
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21831.09,723
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5567.85,185
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,4256.15,142
Crate: Red Quart,AA,7,2022,-2035.27,-139
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18473.87,612
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23445.49,776
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15437.7,512
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21766.88,721
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19556.25,648
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18914.16,626
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16400.84,543
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15199.21,504
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23720.67,785
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22849.26,756
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19510.39,646
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16510.91,547
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20611.12,682
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,25325.9,838
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13988.41,464
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20143.31,667
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23399.63,775
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22858.44,757
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23133.62,766
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21097.27,698
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22473.18,744
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15135.0,502
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10346.84,343
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19758.05,654
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2990.31,100
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3247.15,109
Crate: Red Quart,AA,7,2022,-1552.77,-106
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15144.17,502
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18345.45,608
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23491.35,778
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23344.59,773
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20592.77,682
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22078.75,731
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20143.31,667
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22592.43,748
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23656.46,783
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2228.97,75
Crate: Red Quart,AA,7,2022,-1065.89,-72
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2320.7,78
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24353.59,806
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18859.13,625
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20913.82,692
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21473.35,711
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19079.27,632
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14043.45,465
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18180.35,602
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14006.75,464
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,7897.72,262
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21317.42,706
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24500.35,811
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22849.26,756
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,26472.49,876
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24032.55,795
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15125.83,501
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20712.02,686
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21069.75,698
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18097.79,599
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20959.68,694
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21922.82,726
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,40002.26,1323
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,779.68,27
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,64.21,4
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,733.82,26
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19381.97,642
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14896.51,494
Crate: Red Quart,AA,7,2022,188.61,15
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,972.31,34
Crate: Red Quart,AA,7,2022,-464.95,-31
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18015.24,597
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23307.9,772
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17281.42,572
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,7301.49,243
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12640.02,419
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18831.61,624
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10878.85,361
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17345.63,575
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23463.84,777
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19647.98,651
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19207.69,636
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18006.06,596
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16382.49,543
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20372.63,675
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23069.41,764
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24371.94,807
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23766.54,787
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21876.95,724
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20959.68,694
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,25701.98,851
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21739.36,720
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24757.19,819
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13658.19,453
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10897.2,362
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,431.12,16
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3568.19,119
Crate: Red Quart,AA,7,2022,-1706.3,-116
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18171.17,602
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15740.4,522
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5210.11,174
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,9108.52,302
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,935.62,32
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,467.81,17
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,6842.85,228
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16290.76,540
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12282.28,407
