Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,AA,,0.0,0
2022,7,AA,A5 lock out tags in Tyvek with a drill H,0.0,0
2022,7,AA,Bottle: 660RB Green Lite,2120.87,136
2022,7,AA,Bottle: 660RB Green Lite,1571136.54,99475
2022,7,AA,Bottle: 750RB Amber Calabash,5123.67,362
2022,7,AA,Bottle: 750RB Amber Calabash,3795604.18,267214
2022,7,AA,Crate: Brown Quart,3867911.87,267214
2022,7,AA,Crate: Brown Quart,2553.64,178
2022,7,AA,Crate: Red Quart,1439880.98,99475
2022,7,AA,Crate: Red Quart,946.43,67
2022,7,AA,DEFECT TAG :WHITE Duraflex 111gsm Carbon,0.0,0
2022,7,AA,"OVERALLS:DISPOSABLE,XL,POLYPROP,WHITE",0.0,0
2022,7,AA,"PAD,CLEANING:SCOURING,300MM SQ,NYLON FIB",0.0,0
2022,7,AA,,0.0,0
2022,7,AA,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AA,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AA,Crate: Brown Quart,0.0,0
2022,7,AA,Crate: Brown Quart,0.0,0
2022,7,AA,,0.0,0
2022,7,AA,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AA,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AA,Castle Lager 750ml RB,0.0,0
2022,7,AA,Crate: Brown Quart,0.0,0
2022,7,AA,Crate: Brown Quart,0.0,0
2022,7,AA,Hansa 750ml RB,0.0,0
2022,7,AA,,0.0,0
2022,7,AA,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AA,Bottle: 750RB Amber Calabash,0.0,0
2022,7,AA,"CAP:100% Cotton,EN812 Black(BUMPCAP-BLK)",0.0,0
2022,7,AA,Crate: Brown Quart,0.0,0
2022,7,AA,Crate: Brown Quart,0.0,0
2022,7,AA,"PROTECTOR,HEARING QB3 HYG/HOWARD LEIGHT",0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,COAL Grade A,0.0,0
2022,7,,Solar Electricity,0.0,0
2022,7,,"TOWEL:SHOP DISPOSABLE,1500M ROLL,PAPER",0.0,0
2022,7,,Utilities : Effluent Treatment,0.0,0
2022,7,,Utilities : Electricity KWH,0.0,0
2022,7,,Utilities : Steam,0.0,0
2022,7,,Utilities : Water (Generic),0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,154156.9,87021
2022,7,,,689186.63,271870
2022,7,,,18158.94,11608
2022,7,,,271872.9,120823
2022,7,,,607571.1,140591
2022,7,AA,,0.0,0
2022,7,AA,Bottle: 1000RB Amber,1403.11,100
2022,7,AA,Bottle: 1000RB Amber,1039421.02,73177
2022,7,AA,Bottle: 660RB Green Lite,0.0,0
2022,7,AA,Bottle: 660RB Green Lite,0.0,0
2022,7,AA,Crate: 1L Brown,1059222.39,73177
2022,7,AA,Crate: 1L Brown,699.31,50
2022,7,AA,Crate: Red Quart,0.0,0
2022,7,AA,Crate: Red Quart,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,"FILTER,ELMNT:WATER,1-1/2""ID,2-1/2""OD,30""",0.0,0
2022,7,,FILTERS BEER TRAP  XLD4540USM7,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,CAP_NO MODIFIER:UVEX BUMP CAP,0.0,0
2022,7,,CHEMICAL_NO MODIFIER:HYPOFOAM 1A705072,0.0,0
